country,factor,proxy,nobs
US,F1,sq,480
US,F1,garch,480
US,F1,vix,168
US,F2,sq,480
US,F2,garch,480
US,F2,vix,168
US,F3,sq,480
US,F3,garch,480
US,F3,vix,168
US,F4,sq,480
US,F4,garch,480
US,F4,vix,168
US,F5,sq,480
US,F5,garch,480
US,F5,vix,168
DE,F1,sq,211
DE,F1,garch,211
DE,F1,vdax,211
DE,F1,vstoxx,116
DE,F2,sq,211
DE,F2,garch,211
DE,F2,vdax,211
DE,F2,vstoxx,116
DE,F3,sq,211
DE,F3,garch,211
DE,F3,vdax,211
DE,F3,vstoxx,116
DE,F4,sq,211
DE,F4,garch,211
DE,F4,vdax,211
DE,F4,vstoxx,116
DE,F5,sq,211
DE,F5,garch,211
DE,F5,vdax,211
DE,F5,vstoxx,116
