spec,nobs,beta,t,p,r2
US: F1 ~ sq(y10 change),480,1.2235537749858754,4.986162455164814,6.159036266088984e-07,0.09372163232432051
US: F1 ~ garch var(y10),480,2.6000694965781874,3.1163524875686854,0.001831032625284168,0.1000753650163253
US: F1 ~ VIX (monthly mean),168,0.024787014240733315,1.747229888325412,0.08059746919337184,0.050088309216969384
DE: F1 ~ sq(y10 change),211,1.5252336126602954,0.6591559522431042,0.5097956289225806,0.004255449383668952
DE: F1 ~ garch var(y10),211,18.661799612425078,1.4726675800931013,0.14084069247740869,0.06709544549150293
US: F1 ~ lag sq(y10 change),480,1.0443014273624325,5.5456931506890035,2.9279191506440455e-08,0.0682727748969294
US: F1 ~ lag garch var(y10),480,2.312641522340999,2.629168100259887,0.008559403868023506,0.07926123452496658
US: F1 ~ lag VIX,167,0.031472257739378645,2.2218695755809654,0.026292121046698046,0.08061666040377424
DE: F1 ~ lag sq(y10 change),211,3.041699988771226,1.055045424298101,0.2914045503893897,0.01642306092846546
DE: F1 ~ lag garch var(y10),211,19.620495403018015,1.643024738147696,0.10037781502236844,0.0668098307161501
